DIS_DIA;SQRT_DIS;ID_LOBO;COD_SEXO;COD_EDAD;COD_STATUS;COD_CRIA;HOME_RANGE;REFUGIO;NUCLEOS;CARRETERAS;GANADO
870.47;29.50372858;Mario;1;1;1;2;140.34;76.07;135;178.21;12350.425
8899.15;94.33530622;Mario;1;1;1;2;140.34;76.07;135;178.21;12350.425
10931.79;104.5552007;Mario;1;1;1;2;140.34;76.07;135;178.21;12350.425
6796.6;82.44149441;Mario;1;1;1;2;140.34;76.07;135;178.21;12350.425
5944.66;77.10162125;Mario;1;1;1;2;140.34;76.07;135;178.21;12350.425
15264.98;123.5515277;Mario;1;1;1;2;140.34;76.07;135;178.21;12350.425
5305.06;72.83584282;Mario;1;1;1;2;140.34;76.07;135;178.21;12350.425
7223;84.98823448;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
11967.71;109.3970292;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
24735.09;157.273933;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
6385.5;79.90932361;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
17086.56;130.7155691;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
14269.94;119.4568541;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
14210.6;119.2082212;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
7885.7;88.80146395;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
13125.52;114.5666618;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
7057.28;84.0076187;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
5062.41;71.1506149;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
6033.64;77.67650868;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
714.25;26.72545603;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
7504.21;86.62684341;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
8231.99;90.73031467;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
10656.18;103.2287751;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
3556.49;59.63631444;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
21176.41;145.5211668;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
16624.16;128.9347122;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
18055.22;134.3697138;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
7118.49;84.37114436;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
2966.42;54.46485105;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
16885.24;129.9432184;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
7835.22;88.51677807;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
13759.02;117.2988491;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
8972.28;94.72211991;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
8541.87;92.42223758;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
12169.53;110.3155927;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
9696.35;98.47004621;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
11374.53;106.6514416;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
21430.22;146.3906418;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
