ID;COD_SEX;COD_C_EDAD;COD_STATUS;COD_CRIA;Dis_dia;SqrtDis_dia;K90_total;K90_refugio;N_nucleos_KT90;K90_carre;K90_bioma_tot_T
L1;1;1;1;2;870.47;29.50372858;140.34;76.07;135;178.21;12350.425
L1;1;1;1;2;8899.15;94.33530622;140.34;76.07;135;178.21;12350.425
L1;1;1;1;2;10931.79;104.5552007;140.34;76.07;135;178.21;12350.425
L1;1;1;1;2;6796.6;82.44149441;140.34;76.07;135;178.21;12350.425
L1;1;1;1;2;5944.66;77.10162125;140.34;76.07;135;178.21;12350.425
L1;1;1;1;2;15264.98;123.5515277;140.34;76.07;135;178.21;12350.425
L1;1;1;1;2;5305.06;72.83584282;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;7223;84.98823448;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;11967.71;109.3970292;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;24735.09;157.273933;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;6385.5;79.90932361;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;17086.56;130.7155691;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;14269.94;119.4568541;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;14210.6;119.2082212;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;7885.7;88.80146395;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;13125.52;114.5666618;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;7057.28;84.0076187;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;5062.41;71.1506149;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;6033.64;77.67650868;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;714.25;26.72545603;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;7504.21;86.62684341;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;8231.99;90.73031467;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;10656.18;103.2287751;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;3556.49;59.63631444;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;21176.41;145.5211668;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;16624.16;128.9347122;140.34;76.07;135;178.21;12350.425
